year,month,labor_force,tot_employed,tot_unemployed,unemployment_rate
2018,1,170526082,163499372,7026710,4.12
2018,2,170751287,163806047,6945240,4.07
2018,3,171048334,164185029,6863305,4.01
2018,4,171306817,164531952,6774865,3.95
2018,5,171457074,164763818,6693256,3.9
2018,6,171504600,164878188,6626412,3.86
2018,7,171485544,164626128,6578522,3.84
2018,8,171485331,164914787,6570544,3.83
2018,9,171560226,164951817,6608409,3.85
2018,10,171723441,165050239,6673202,3.89
2018,11,171949003,165213728,6735275,3.92
2018,12,172186860,165424756,6762104,3.93
2019,1,172379678,165649332,6730346,3.9
2019,2,172504106,165873479,6630627,3.84
2019,3,172590429,166093489,6496940,3.76
2019,4,172693423,166328118,6365305,3.69
2019,5,172836204,166566212,6269992,3.63
2019,6,173023168,166787969,6235199,3.6
2019,7,173241703,166979831,6261872,3.61
2019,8,173470360,167151779,6318581,3.64
2019,9,173716752,167367334,6349418,3.66
2019,10,173970379,167605044,6365335,3.66
2019,11,174196159,167811297,6384862,3.67
2019,12,174293933,167864478,6429455,3.69
2020,1,174201459,167690225,6511234,3.74
2020,2,173928633,167294960,6633673,3.81
2020,3,172369827,164876612,7493215,4.35
2020,4,165489419,141473511,24015908,14.51
2020,5,168788749,146403229,22385520,13.26
2020,6,169833403,150581853,19251550,11.34
2020,7,170774665,152892098,17882567,10.47
2020,8,170117796,154660761,15457035,9.09
2020,9,169870945,156134986,13735959,8.09
2020,10,169903245,157378764,12524481,7.37
2020,11,170113235,158042241,12070994,7.1
2020,12,170249255,158399112,11850143,6.96
2021,1,170207553,158839396,11352502,6.67
2021,2,170344187,159266040,11078147,6.5
2021,3,170622435,159842258,10780177,6.32
2021,4,171019801,160480473,10539328,6.16
2021,5,171218186,161091188,10126998,5.91
2021,6,171665071,161654538,10010533,5.83
2021,7,171635622,162084365,9551257,5.56
2021,8,171699453,162520813,9178640,5.35
2021,9,171575962,162969238,8606724,5.02
2021,10,171775687,163569985,8205702,4.78
2021,11,172011065,164247851,7763214,4.51
2021,12,172488228,165027904,7460324,4.33
2022,1,173058343,165858354,7199989,4.16
2022,2,173396981,166587178,6809803,3.93
2022,3,173663688,167177888,6485800,3.73
2022,4,173938105,167628468,6309637,3.63
2022,5,174078356,167862085,6216271,3.57
2022,6,174116804,167928317,6188487,3.55
2022,7,174008604,167816064,6192540,3.56
2022,8,173862408,167639450,6222958,3.58
2022,9,173888894,167475709,6413185,3.69
2022,10,173977488,167438599,6538889,3.76
2022,11,174017691,167505477,6512214,3.74
2022,12,174037576,167576297,6461279,3.71
2023,1,174294908,167814422,6480486,3.72
2023,2,174613291,168103112,6510179,3.73
2023,3,175021798,168590102,6431696,3.67
2023,4,175435948,169116039,6319909,3.6
